n,t,w
0, 0.000006456, qhcseb
1, 0.000000382, xhwidd
2, 0.000000317, nviwpk
3, 0.000000402, wegsdn
4, 0.000000260, mgiptv
5, 0.000000211, raptuj
6, 0.000000207, gwzpdx
7, 0.000000192, wbzdmg
8, 0.000000200, hwouvd
9, 0.000000194, jnbttb
10, 0.000000211, dwsgpf
11, 0.000000191, sunftk
12, 0.000000265, qkhzut
13, 0.000000189, hftvwl
14, 0.000000276, utsjmy
15, 0.000000190, hudagt
16, 0.000000192, ssiefm
17, 0.000000198, zqznqy
18, 0.000000190, vnuzhi
19, 0.000000201, isporq
20, 0.000000253, xqnrpm
21, 0.000000188, letktw
22, 0.000000190, szoftq
23, 0.000000191, ravtxi
24, 0.000000188, gtxcgr
25, 0.000000192, mbdibs
26, 0.000000196, yngqvc
27, 0.000000202, ewkvvh
28, 0.000000194, ztihuq
29, 0.000000192, smzikq
30, 0.000000192, aqxdxj
31, 0.000000248, vwsche
32, 0.000000190, dgjehl
33, 0.000000193, hedrzg
34, 0.000000192, ptmtir
35, 0.000000189, auujwd
36, 0.000000249, niogvv
37, 0.000000190, osdbpp
38, 0.000000190, zbpkkj
39, 0.000000246, vhxpwc
40, 0.000000186, ifybef
41, 0.000000191, ubgjpy
42, 0.000000274, khcbwp
43, 0.000000189, ejxhxa
44, 0.000000246, boeviu
45, 0.000000193, jgrvdj
46, 0.000000253, jrprtb
47, 0.000000192, dmtcgd
48, 0.000000191, pjdjnh
49, 0.000000190, ghisja
50, 0.000000194, cmcwho
51, 0.000000198, flxydz
52, 0.000000186, rvecod
53, 0.000000187, rzqzat
54, 0.000000204, twdozz
55, 0.000000199, iukipd
56, 0.000000206, smjukd
57, 0.000000202, ajbwel
58, 0.000000198, gvoiqj
59, 0.000012776, kjoefg
60, 0.000000201, jfcpxr
61, 0.000000346, leyptx
62, 0.000000201, vdttqa
63, 0.000000208, pembac
64, 0.000000202, ihlyzq
65, 0.000000203, tbdjpa
66, 0.000000349, xbjvny
67, 0.000000200, zswtev
68, 0.000000201, szzbna
69, 0.000000200, yijzxr
70, 0.000000199, jgjreu
71, 0.000000201, wszeyw
72, 0.000000200, mmyzer
73, 0.000000258, mbavkd
74, 0.000000288, unlpya
75, 0.000000256, qpdech
76, 0.000000202, pdoqbm
77, 0.000000203, mbtacz
78, 0.000000197, bdqzzc
79, 0.000000202, wpteyt
80, 0.000000201, bjhkya
81, 0.000000258, yzrkfk
82, 0.000000198, nmxgkw
83, 0.000000200, tdctji
84, 0.000000200, cugndd
85, 0.000000199, nxjumw
86, 0.000000262, pkbhuw
87, 0.000000198, giantn
88, 0.000000208, ugvdhb
89, 0.000000203, siotiq
90, 0.000000198, parieu
91, 0.000000198, wfylgv
92, 0.000000255, kihxno
93, 0.000000263, ejfxeb
94, 0.000000199, zbxsmu
95, 0.000000198, gskmur
96, 0.000000202, oehsrx
97, 0.000000262, udddxi
98, 0.000000201, ujosdw
99, 0.000000205, ypmgxd
100, 0.000000264, pcprso
101, 0.000000200, bedfjn
102, 0.000000268, wczuhv
103, 0.000000202, yiowtl
104, 0.000000200, kprxjw
105, 0.000000201, eeqmdp
106, 0.000000198, jhejtg
107, 0.000000204, fkqczs
108, 0.000000262, zplwvb
109, 0.000000199, djocir
110, 0.000000264, hsnhnr
111, 0.000000258, zazcjk
112, 0.000000215, aoyhgb
113, 0.000000196, xkxtzf
114, 0.000000197, ekdesg
115, 0.000000201, qrpqap
116, 0.000000200, chawiy
117, 0.000000202, pellng
118, 0.000000274, wwefkk
119, 0.000000199, siussw
120, 0.000000275, vzgwmy
121, 0.000000197, aratoi
122, 0.000000199, ehefha
123, 0.000000266, htmtmr
124, 0.000000199, cjffkl
125, 0.000000199, swapog
126, 0.000000204, nvufxd
127, 0.000000198, eazvfk
128, 0.000000446, rhiiuc
129, 0.000000202, hutgka
130, 0.000000200, chxnrl
131, 0.000000202, rusffj
132, 0.000000255, xacnkm
133, 0.000000256, maxidb
134, 0.000000198, ufyexo
135, 0.000000203, eqxdas
136, 0.000000200, tcogfv
137, 0.000000198, cxlciy
138, 0.000000201, iquctu
139, 0.000000275, flvozi
140, 0.000000199, uvnixz
141, 0.000000201, fhqgtv
142, 0.000000200, evdenq
143, 0.000000276, yemizx
144, 0.000000197, zhmzvn
145, 0.000000202, qinyuv
146, 0.000000200, hhnbjl
147, 0.000000360, pokkmr
148, 0.000000264, nghbwd
149, 0.000000198, mqihdi
150, 0.000000196, bczlfh
151, 0.000000200, pnbtee
152, 0.000000199, kcqhzi
153, 0.000000200, bakays
154, 0.000000200, glcwqw
155, 0.000000201, wqmagv
156, 0.000000203, raafkl
157, 0.000000258, cbvdxu
158, 0.000000199, hojvlo
159, 0.000000199, sfpvyz
160, 0.000000270, faujsu
161, 0.000000292, dnlaat
162, 0.000000256, advapb
163, 0.000000196, ulqrka
164, 0.000000257, ktphsb
165, 0.000000201, ealbxf
166, 0.000000255, xkupsw
167, 0.000000201, yskujf
168, 0.000000198, svgxpe
