n,t,w
0, 0.000001054, qhcseb
1, 0.000000328, xhwidd
2, 0.000000331, nviwpk
3, 0.000000223, wegsdn
4, 0.000000236, mgiptv
5, 0.000000236, raptuj
6, 0.000000228, gwzpdx
7, 0.000000202, wbzdmg
8, 0.000000218, hwouvd
9, 0.000000225, jnbttb
10, 0.000000220, dwsgpf
11, 0.000000220, sunftk
12, 0.000000311, qkhzut
13, 0.000000216, hftvwl
14, 0.000000220, utsjmy
15, 0.000000202, hudagt
16, 0.000000196, ssiefm
17, 0.000000223, zqznqy
18, 0.000000214, vnuzhi
19, 0.000000227, isporq
20, 0.000000199, xqnrpm
21, 0.000000206, letktw
22, 0.000000199, szoftq
23, 0.000000200, ravtxi
24, 0.000000200, gtxcgr
25, 0.000000197, mbdibs
26, 0.000000237, yngqvc
27, 0.000000233, ewkvvh
28, 0.000000211, ztihuq
29, 0.000000200, smzikq
30, 0.000000232, aqxdxj
31, 0.000000207, vwsche
32, 0.000000208, dgjehl
33, 0.000000201, hedrzg
34, 0.000000213, ptmtir
35, 0.000000196, auujwd
36, 0.000000209, niogvv
37, 0.000000219, osdbpp
38, 0.000000199, zbpkkj
39, 0.000000204, vhxpwc
40, 0.000000202, ifybef
41, 0.000000200, ubgjpy
42, 0.000016927, khcbwp
43, 0.000000261, ejxhxa
44, 0.000000248, boeviu
45, 0.000000215, jgrvdj
46, 0.000000209, jrprtb
47, 0.000000205, dmtcgd
48, 0.000000210, pjdjnh
49, 0.000000211, ghisja
50, 0.000000223, cmcwho
51, 0.000000220, flxydz
52, 0.000000213, rvecod
53, 0.000000261, rzqzat
54, 0.000000218, twdozz
55, 0.000000210, iukipd
56, 0.000000203, smjukd
57, 0.000000204, ajbwel
58, 0.000000203, gvoiqj
59, 0.000000199, kjoefg
60, 0.000000199, jfcpxr
61, 0.000000210, leyptx
62, 0.000000201, vdttqa
63, 0.000000196, pembac
64, 0.000000197, ihlyzq
65, 0.000000201, tbdjpa
66, 0.000000215, xbjvny
67, 0.000000203, zswtev
68, 0.000000201, szzbna
69, 0.000000200, yijzxr
70, 0.000000198, jgjreu
71, 0.000000199, wszeyw
72, 0.000000202, mmyzer
73, 0.000000196, mbavkd
74, 0.000000209, unlpya
75, 0.000000202, qpdech
76, 0.000000199, pdoqbm
77, 0.000000200, mbtacz
78, 0.000000207, bdqzzc
79, 0.000000198, wpteyt
80, 0.000000201, bjhkya
81, 0.000000201, yzrkfk
82, 0.000000205, nmxgkw
83, 0.000000201, tdctji
84, 0.000076651, cugndd
85, 0.000000287, nxjumw
86, 0.000000217, pkbhuw
87, 0.000000200, giantn
88, 0.000000208, ugvdhb
89, 0.000000196, siotiq
90, 0.000000191, parieu
91, 0.000000195, wfylgv
92, 0.000000192, kihxno
93, 0.000000190, ejfxeb
94, 0.000000189, zbxsmu
95, 0.000000185, gskmur
96, 0.000000192, oehsrx
97, 0.000000189, udddxi
98, 0.000000205, ujosdw
99, 0.000000193, ypmgxd
100, 0.000000190, pcprso
101, 0.000000191, bedfjn
102, 0.000000200, wczuhv
103, 0.000000189, yiowtl
104, 0.000000188, kprxjw
105, 0.000000188, eeqmdp
106, 0.000000194, jhejtg
107, 0.000000188, fkqczs
108, 0.000000194, zplwvb
109, 0.000000193, djocir
110, 0.000000193, hsnhnr
111, 0.000000188, zazcjk
112, 0.000000253, aoyhgb
113, 0.000000189, xkxtzf
114, 0.000000189, ekdesg
115, 0.000000189, qrpqap
116, 0.000000242, chawiy
117, 0.000000190, pellng
118, 0.000000189, wwefkk
119, 0.000000191, siussw
120, 0.000000188, vzgwmy
121, 0.000000187, aratoi
122, 0.000000190, ehefha
123, 0.000000188, htmtmr
124, 0.000000187, cjffkl
125, 0.000000188, swapog
126, 0.000000196, nvufxd
127, 0.000000192, eazvfk
128, 0.000000194, rhiiuc
129, 0.000000194, hutgka
